date_yr,ra_mas,dec_mas,rv_kms
1992.224,-9.899999618530273,170.1999969482422,
1994.314,-33.70000076293945,177.5,
1995.534,-41.79999923706055,170.3000030517578,
1996.253,-47.599998474121094,162.1999969482422,
1996.427,-50.29999923706055,160.1999969482422,
1997.544,-63.29999923706055,128.6999969482422,
1998.373,-69.19999694824219,120.4000015258789,
1999.465,-71.19999694824219,104.19999694824219,
2000.472,-58.70000076293945,62.0,
2000.523,-67.0,56.5,
2001.502,-52.400001525878906,22.0,
2002.25,-8.100000381469727,-14.399999618530273,
2002.335,4.0,-9.699999809265137,
2002.393,13.699999809265137,-2.0999999046325684,
2002.409,15.5,-0.10000000149011612,
2002.412,14.699999809265137,0.20000000298023224,
2002.414,14.699999809265137,1.0,
2002.488,24.899999618530273,12.899999618530273,
2002.578,28.100000381469727,18.5,
2002.66,31.399999618530273,24.700000762939453,
2002.66,31.200000762939453,25.200000762939453,
2003.214,38.599998474121094,64.5,
2003.351,39.0,72.9000015258789,
2003.356,38.29999923706055,72.69999694824219,
2003.446,38.20000076293945,77.69999694824219,
2003.451,38.900001525878906,78.30000305175781,
2003.452,39.099998474121094,78.4000015258789,
2003.454,38.5,78.5,
2003.454,38.900001525878906,79.69999694824219,
2003.55,38.599998474121094,83.19999694824219,
2003.676,38.29999923706055,89.69999694824219,
2003.678,38.79999923706055,89.5,
2003.761,37.70000076293945,94.69999694824219,
2004.24,35.0,111.0999984741211,
2004.325,34.70000076293945,114.0999984741211,
2004.347,33.900001525878906,115.5,
2004.443,33.900001525878906,118.30000305175781,
2004.511,33.0,120.5999984741211,
2004.513,33.20000076293945,121.0,
2004.516,33.400001525878906,121.0,
2004.516,33.099998474121094,121.0,
2004.574,32.20000076293945,122.69999694824219,
2004.574,32.20000076293945,121.80000305175781,
2004.664,31.5,125.0999984741211,
2004.67,31.899999618530273,125.30000305175781,
2004.73,31.100000381469727,127.19999694824219,
2004.73,31.799999237060547,126.80000305175781,
2005.27,26.0,141.0,
2005.366,25.100000381469727,143.10000610351562,
2005.371,24.700000762939453,143.3000030517578,
2005.374,24.700000762939453,143.3000030517578,
2005.467,24.299999237060547,144.89999389648438,
2005.57,23.5,146.89999389648438,
2005.576,23.0,147.3000030517578,
2006.324,15.699999809265137,159.6999969482422,
2007.545,1.2999999523162842,173.60000610351562,
2007.55,2.5999999046325684,173.10000610351562,
2007.686,1.0,173.89999389648438,
2007.687,0.4000000059604645,173.89999389648438,
2008.148,-6.0,177.0,
2008.197,-6.5,177.0,
2008.268,-7.400000095367432,178.0,
2008.456,-9.699999809265137,178.1999969482422,
2008.472,-9.399999618530273,178.60000610351562,
2008.473,-9.0,178.1999969482422,
2008.593,-10.0,177.60000610351562,
2008.601,-11.800000190734863,178.1999969482422,
2008.708,-12.600000381469727,179.1999969482422,
2009.185,-18.399999618530273,179.10000610351562,
2009.273,-19.100000381469727,179.1999969482422,
2009.3,-19.600000381469727,179.3000030517578,
2009.303,-19.299999237060547,179.60000610351562,
2009.336,-19.399999618530273,179.1999969482422,
2009.336,-19.5,179.1999969482422,
2009.371,-19.700000762939453,179.0,
2009.502,-20.899999618530273,179.0,
2009.505,-21.200000762939453,179.1999969482422,
2009.557,-21.899999618530273,179.5,
2009.557,-21.299999237060547,179.39999389648438,
2009.606,-22.299999237060547,179.5,
2009.718,-23.899999618530273,179.10000610351562,
2009.776,-24.100000381469727,179.0,
2010.234,-29.5,177.5,
2010.239,-29.600000381469727,176.60000610351562,
2010.239,-29.0,177.10000610351562,
2010.245,-29.299999237060547,176.8000030517578,
2010.351,-30.600000381469727,176.60000610351562,
2010.444,-31.799999237060547,176.10000610351562,
2010.455,-31.799999237060547,175.89999389648438,
2010.455,-31.399999618530273,176.10000610351562,
2010.455,-31.200000762939453,175.39999389648438,
2010.46,-31.299999237060547,176.10000610351562,
2010.616,-31.799999237060547,174.39999389648438,
2010.619,-33.900001525878906,175.10000610351562,
2010.622,-33.29999923706055,175.10000610351562,
2010.624,-33.20000076293945,175.3000030517578,
2010.627,-33.5,174.89999389648438,
2010.676,-33.599998474121094,174.10000610351562,
2010.679,-34.20000076293945,174.39999389648438,
2011.238,-39.70000076293945,170.6999969482422,
2011.241,-39.70000076293945,170.60000610351562,
2011.244,-39.099998474121094,170.39999389648438,
2011.249,-39.5,170.3000030517578,
2011.312,-40.29999923706055,169.8000030517578,
2011.313,-38.900001525878906,169.89999389648438,
2011.315,-40.5,169.6999969482422,
2011.337,-40.400001525878906,169.3000030517578,
2011.443,-41.400001525878906,168.39999389648438,
2011.553,-42.5,167.60000610351562,
2011.613,-42.70000076293945,166.89999389648438,
2011.689,-44.0,166.3000030517578,
2011.695,-43.900001525878906,166.10000610351562,
2011.695,-42.79999923706055,166.1999969482422,
2011.698,-43.900001525878906,166.0,
2011.722,-44.099998474121094,165.60000610351562,
2012.202,-48.0,159.8000030517578,
2012.339,-49.599998474121094,158.39999389648438,
2012.497,-50.099998474121094,156.1999969482422,
2012.533,-51.400001525878906,156.1999969482422,
2012.544,-51.099998474121094,156.10000610351562,
2012.552,-51.70000076293945,155.8000030517578,
2012.552,-50.5,155.60000610351562,
2012.604,-51.70000076293945,155.0,
2012.7,-52.0,153.39999389648438,
2013.161,-55.29999923706055,147.10000610351562,
2013.24,-55.5,145.8000030517578,
2013.317,-56.5,144.60000610351562,
2013.366,-56.70000076293945,143.39999389648438,
2013.42,-56.70000076293945,142.6999969482422,
2013.437,-56.0,142.6999969482422,
2013.494,-57.29999923706055,140.89999389648438,
2013.502,-57.29999923706055,141.10000610351562,
2013.587,-57.900001525878906,139.5,
2013.59,-57.29999923706055,139.3000030517578,
2013.617,-58.29999923706055,139.0,
2015.432,-66.19999694824219,97.69999694824219,
2015.517,-66.69999694824219,95.30000305175781,
2015.706,-67.0,90.0999984741211,
2015.747,-66.80000305175781,88.5,
2016.221,-66.0999984741211,73.30000305175781,
2016.287,-66.0,70.80000305175781,
2016.325,-66.0,69.69999694824219,
2016.369,-66.19999694824219,68.69999694824219,
2016.525,-64.4000015258789,62.70000076293945,
2016.53,-65.0999984741211,62.70000076293945,
